key,legacy_csv_line,ocr_file,ocr_line,old_grammar,ocr_grammar,old_sentence,ocr_sentence,status,changed_fields,audio_action,notes
第6課 - 13,99,Bunpou_p40-p46_visual.md,133,～ともなく・～ともなしに,～ともなく・～ともなしに,いつからともなしに、わたしはモーツァルトの音楽が大好きになった。,いつからともなしに、わたしはモーツァルトの音楽が大好きになった。,corrected,2;5;9;10;16;19-opening,keep,
第6課 - 14,100,Bunpou_p40-p46_visual.md,143,～ながらにして,～ながらに（して）,この子は生まれながらにして優れた音感を持っていた。,この子は生まれながらに優れた音感を持っていた。,corrected,3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 15,101,Bunpou_p40-p46_visual.md,144,～ながらにして,～ながらに（して）,インターネットのおかげで、今は家にいながらにして世界中の人と交流できる。,インターネットのおかげで、今は家にいながらにして世界中の人と交流できる。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第6課 - 16,102,Bunpou_p40-p46_visual.md,145,～ながらにして,～ながらに（して）,この辺りは昔ながらの田舎の雰囲気が残っている。,この辺りは昔ながらの田舎の雰囲気が残っている。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第6課 - 17,103,Bunpou_p40-p46_visual.md,146,～ながらにして,～ながらに（して）,その女性は母親との死別を涙ながらに語った。,その女性は母親との死別を涙ながらに語った。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第6課 - 18,104,Bunpou_p40-p46_visual.md,156,～きらいがある,～きらいがある,彼はどうも物事を悲観的に考えるきらいがある。,彼はどうも物事を悲観的に考えるきらいがある。,corrected,2;5;9;10;12;16;19-opening,keep,
第6課 - 19,105,Bunpou_p40-p46_visual.md,157,～きらいがある,～きらいがある,うちの部長は、何かと違う方を通り過ぎて考えるきらいがある。,うちの部長は自分と違う考え方を認めようとしないきらいがある。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 20,106,Bunpou_p40-p46_visual.md,158,～きらいがある,～きらいがある,松本さんは一度言い出したら人の意見に耳を傾けない。少し独断のきらいがある。,松本さんは一度言い出したら人の意見に耳を傾けない。少し独断のきらいがある。,corrected,9;10;12;16,keep,
第7課 - 1,107,Bunpou_p40-p46_visual.md,316,～がてら,～がてら,散歩がてらちょっとパンを買いに行ってきます。,散歩がてらちょっとパンを買いに行ってきます。,corrected,9;10;12,keep,
第7課 - 2,108,Bunpou_p40-p46_visual.md,317,～がてら,～がてら,花火の見物がてら、もう一度うちへもおいでください。,花火の見物がてら一度うちへもおいでください。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第7課 - 3,109,Bunpou_p40-p46_visual.md,318,～がてら,～がてら,友達を駅まで送りがてらDVDを返してきた。,友達を駅まで送りがてらDVDを返してきた。,corrected,9;10;12,keep,
第7課 - 4,110,Bunpou_p40-p46_visual.md,328,～かたがた,～かたがた,部長のお礼かたがたごあいさつに行こうと思っています。,部長のお宅へお礼かたがたごあいさつに行こうと思っています。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第7課 - 5,111,Bunpou_p40-p46_visual.md,329,～かたがた,～かたがた,ご報告かたがた一度お伺いしたいのですが……。,ご報告かたがた一度伺いたいのですが……。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第7課 - 6,112,Bunpou_p40-p46_visual.md,330,～かたがた,～かたがた,見学かたがたその祖父が入所している老人ホームを訪ねた。,見学かたがた祖父が入所している老人ホームを訪ねた。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第7課 - 7,113,Bunpou_p40-p46_visual.md,340,～かたわら,～かたわら,彼は教師の仕事をするかたわら小説を書いている。,彼は教師の仕事をするかたわら小説を書いている。,corrected,9;10;12;16,keep,
第7課 - 8,114,Bunpou_p40-p46_visual.md,341,～かたわら,～かたわら,わたしは会社勤務のかたわら子供たちにサッカーを教えています。,わたしは会社勤務のかたわら子供たちにサッカーを教えています。,corrected,9;10;12;16,keep,
第7課 - 9,115,Bunpou_p40-p46_visual.md,342,～かたわら,～かたわら,母は主婦としての仕事のかたわら日本語を教えるボランティアをしている。,母は主婦としての仕事のかたわら日本語を教えるボランティアをしている。,corrected,9;10;12;16,keep,
第8課 - 1,116,Bunpou_p47-p53_visual.md,21,～ところを,～ところを,ご報告しなければいけないところを遅くなってしまって申し訳ありません。,すぐにご報告しなければいけないところを遅くなってしまって申し訳ありません。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第8課 - 2,117,Bunpou_p47-p53_visual.md,23,～ところを,～ところを,お急ぎのところをすみません。ちょっと伺ってもよろしいでしょうか。,お急ぎのところをすみません。ちょっと伺ってもよろしいでしょうか。,corrected,9;10;12;16,keep,
第8課 - 3,118,Bunpou_p47-p53_visual.md,25,～ところを,～ところを,こちらからお願いに伺うべきところを先方からおいでいただき、恐縮した。,こちらからお願いに伺うべきところを先方からおいでいただき、恐縮した。,corrected,9;10;12;16,keep,
第8課 - 4,119,Bunpou_p47-p53_visual.md,35,～ものを,～ものを,安静にしていれば治るものを、田中さんはすぐに働き始めて、また病気を悪化させてしまった。,安静にしていれば治るものを、田中さんはすぐに働き始めて、また病気を悪化させてしまった。,corrected,9;10;12;16,keep,
第8課 - 5,120,Bunpou_p47-p53_visual.md,37,～ものを,～ものを,もっと慎重に調べれば誤解されないものを、彼の強引なやり方がいつも誤解を招く。,もっと慎重にやれば誤解されないものを、彼の強引なやり方がいつも誤解を招く。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第8課 - 6,121,Bunpou_p47-p53_visual.md,39,～ものを,～ものを,よせばいいものを、彼は社長に大声で文句を言った。そのため会社を首になった。,よせばいいものを、彼は社長に大声で文句を言った。そのため会社を首になった。,corrected,2;5;9;10;12;16,keep,
第8課 - 7,122,Bunpou_p47-p53_visual.md,41,～ものを,～ものを,一言声をかけてくれれば手伝ったものを。,一言声をかけてくれれば手伝ったものを。,corrected,9;10;12;16,keep,
第8課 - 8,123,Bunpou_p47-p53_visual.md,51,～とはいえ,～とはいえ,ダイエット中とはいえ、出されたごちそうを手につけないなんて失礼だと思う。,ダイエット中とはいえ、出されたごちそうに手をつけないなんて失礼だと思う。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第8課 - 9,124,Bunpou_p47-p53_visual.md,53,～とはいえ,～とはいえ,まだ締め切りまで時間があるとはいえ、早めに完成させておいたほうがいい。,まだ締め切りまで時間があるとはいえ、早めに完成させておいたほうがいい。,corrected,9;10;12,keep,
第8課 - 10,125,Bunpou_p47-p53_visual.md,55,～とはいえ,～とはいえ,12月に入ったとはいえ、まだ年末という気がしない。,12月に入ったとはいえ、まだ年末という気がしない。,corrected,9;10;12,keep,
第8課 - 11,126,Bunpou_p47-p53_visual.md,57,～とはいえ,～とはいえ,あの時は仕方がなかったとはいえ、ご迷惑をおかけしました。,あの時は仕方がなかったとはいえ、ご迷惑をおかけしました。,corrected,9;10;12,keep,
第8課 - 12,127,Bunpou_p47-p53_visual.md,73,～といえども,～といえども,未成年者といえども、公共の場で勝手なことをしてはならない。,未成年者といえども、公共の場で勝手なことをしてはならない。,corrected,9;10;12;16,keep,
第8課 - 13,128,Bunpou_p47-p53_visual.md,75,～といえども,～といえども,いかに困難な状況にあったといえども、罪を犯したことは許されない。,いかに困難な状況にあったといえども、罪を犯したことは許されない。,corrected,9;10;12;16,keep,
第8課 - 14,129,Bunpou_p47-p53_visual.md,77,～といえども,～といえども,人間は自然災害に無力だといえども、国を挙げての対策を強化する必要がある。,人間は自然災害に対して無力といえども、国を挙げての対策を強化する必要がある。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第8課 - 15,130,Bunpou_p47-p53_visual.md,79,～といえども,～といえども,この不況下では、たとえ経営の神様といえども、この会社の立て直しは難しいだろう。,この不況下では、たとえ経営の神様といえども、この会社の立て直しは難しいだろう。,corrected,9;10;12;16,keep,
第8課 - 16,131,Bunpou_p47-p53_visual.md,81,～といえども,～といえども,どんな大芸術家といえども、この有名な絵を買うことはできない。,どんな大富豪といえども、この有名な絵を買うことはできない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第8課 - 17,132,Bunpou_p47-p53_visual.md,91,～と思いきや,～と思いきや,試験問題は簡単だったので、満点を取れると思いきや、名前を書くのを忘れて0点にされてしまった。,試験問題は簡単だったので、満点を取れたと思いきや、名前を書くのを忘れて0点にされてしまった。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第8課 - 18,133,Bunpou_p47-p53_visual.md,93,～と思いきや,～と思いきや,あの政党は選挙で圧勝したので、長く政権が続くかと思いきや、たちまち支持率が落ち、1年ともたなかった。,あの政党は選挙で圧勝したので、長く政権が続くかと思いきや、たちまち支持率が落ち、1年ともたなかった。,corrected,12;16,keep,
第8課 - 19,134,Bunpou_p47-p53_visual.md,95,～と思いきや,～と思いきや,やっと道路工事が終わったので、これから静かになるだろうと思いきや、別の工事が始まった。,やっと道路工事が終わったので、これからは静かになるだろうと思いきや、別の工事が始まった。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 1,135,Bunpou_p47-p53_visual.md,359,～とあれば,～とあれば,子供のためとあれば、わたしはどんなことでも我慢しますよ。,子供のためとあれば、わたしはどんなことでも我慢しますよ。,corrected,9;10;12;16,keep,
第9課 - 2,136,Bunpou_p47-p53_visual.md,361,～とあれば,～とあれば,小さい島での一人暮らしとあれば、不自由なことも多いだろう。,小さい島での一人暮らしとあれば、不自由なことも多いだろう。,corrected,9;10;12;16,keep,
第9課 - 3,137,Bunpou_p47-p53_visual.md,363,～とあれば,～とあれば,入院のためにお金が必要とあれば、なんとしてお金を用意しなければならない。,入院のためにお金が必要だとあれば、なんとかしてお金を用意しなければならない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 4,138,Bunpou_p47-p53_visual.md,373,～たら最後・～たが最後,～たら最後・～たが最後,兄は大酒飲みだから、飲み始めたら最後、酔いつぶれるまで飲んでしまう。,兄は大酒飲みだから、飲み始めたら最後、酔いつぶれるまで飲んでしまう。,corrected,2;5;9;10;12;16;19-opening,keep,
第9課 - 5,139,Bunpou_p47-p53_visual.md,375,～たら最後・～たが最後,～たら最後・～たが最後,うちの娘はパソコンの前に一度座ったが最後、声をかけても返事もしない。,うちの娘はパソコンの前に座ったが最後、声をかけても返事もしない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 6,140,Bunpou_p47-p53_visual.md,377,～たら最後・～たが最後,～たら最後・～たが最後,彼はお金を持たせたら最後、何に使われるかわからない。,彼にお金を持たせたら最後、何に使われるかわからない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 7,141,Bunpou_p47-p53_visual.md,387,～ようでは,～ようでは,小さな失敗をいちいち気にするようでは、この会社ではやっていけないよ。,小さな失敗をいちいち気にするようでは、この会社ではやっていけないよ。,corrected,2;5;9;10;12;16;19-opening,keep,
第9課 - 8,142,Bunpou_p47-p53_visual.md,389,～ようでは,～ようでは,ああ、君は忘れっぽくて困る。こんなにすぐ忘れるようでは、この先のことが心配だ。,ああ、僕は忘れっぽくて困る。こんなにすぐ忘れるようでは、この先のことが心配だ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 9,143,Bunpou_p47-p53_visual.md,391,～ようでは,～ようでは,報告書はこんなにごちゃごちゃしているようでは、安心して仕事を任せられない。,報告書にこんなにミスが多いようでは、安心して仕事を任せられない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 10,144,Bunpou_p54-p60_visual.md,18,～なしに(は)・～なしでは・～なくては(は),～なしに(は)・～なしでは・～なくして(は),資金を確保することなしにはどんな計画も実行できない。,資金を確保することなしにはどんな計画も実行できない。,corrected,3;9;10;12;16,keep,
第9課 - 11,145,Bunpou_p54-p60_visual.md,19,～なしに(は)・～なしでは・～なくては(は),～なしに(は)・～なしでは・～なくして(は),あのころのことは涙なしに語ることはできない。,あのころのことは涙なしに語ることはできない。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第9課 - 12,146,Bunpou_p54-p60_visual.md,20,～なしに(は)・～なしでは・～なくては(は),～なしに(は)・～なしでは・～なくして(は),祖母はもう高齢で、周りの人の助けなしでは暮らせない。,祖母はもう高齢で、周りの人たちの助けなしでは暮らせない。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 13,147,Bunpou_p54-p60_visual.md,21,～なしに(は)・～なしでは・～なくては(は),～なしに(は)・～なしでは・～なくして(は),十分な話し合いなしではダム建設の問題は解決しないだろう。,十分な話し合いなくしてはダム建設の問題は解決しないだろう。,corrected,3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 14,148,Bunpou_p54-p60_visual.md,22,～なしに(は)・～なしでは・～なくては(は),～なしに(は)・～なしでは・～なくして(は),先生の御指導なくしてはわたしの大学合格はあり得ませんでした。,先生方のご指導なくしてわたしの大学合格はあり得ませんでした。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 15,149,Bunpou_p54-p60_visual.md,34,～くらいなら,～くらいなら,満員のバスに乗るくらいなら、駅まで20分歩くほうがいい。,満員のバスに乗るくらいなら、駅まで20分歩くほうがいい。,corrected,2;5;9;10;12;16;19-opening,keep,
第9課 - 16,150,Bunpou_p54-p60_visual.md,35,～くらいなら,～くらいなら,その服、捨てるんですか。捨てるくらいなら、わたしにください。,その服、捨てるんですか。捨てるくらいなら、わたしにください。わたしが着ます。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第9課 - 17,151,Bunpou_p54-p60_visual.md,36,～くらいなら,～くらいなら,途中でやめるくらいなら、初めからやらなければいいのに。,途中でやめるくらいなら、初めからやらなければいいのに。,corrected,2;5;9;10;12;16;19-opening,keep,
第10課 - 1,152,Bunpou_p54-p60_visual.md,198,～(よ)うと(も)・～(よ)うが,～（よ）うと（も）・～（よ）うが,たとえ大地震が起きようと、このビルは安全なはずだ。,たとえ大地震が起ころうと、このビルは安全なはずだ。,corrected,3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 2,153,Bunpou_p54-p60_visual.md,199,～(よ)うと(も)・～(よ)うが,～（よ）うと（も）・～（よ）うが,社長は何を言おうが、自分のやり方を押し通した。,社長は何を言われようが、自分のやり方を押し通した。,corrected,3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 3,154,Bunpou_p54-p60_visual.md,200,～(よ)うと(も)・～(よ)うが,～（よ）うと（も）・～（よ）うが,目標がどんなに遥かに遠かろうと、僕は夢を捨てないぞ。,目標までどんなに遠かろうと、僕は夢を捨てないぞ。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 4,155,Bunpou_p54-p60_visual.md,201,～(よ)うと(も)・～(よ)うが,～（よ）うと（も）・～（よ）うが,いかに困難だろうと、戦争のない世界を目指して闘いたい。,いかに困難だろうと、戦争のない世界を目指して闘いたい。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第10課 - 5,156,Bunpou_p54-p60_visual.md,202,～(よ)うと(も)・～(よ)うが,～（よ）うと（も）・～（よ）うが,たとえ有名な政治家であろうとも、家庭では普通の親でしかない。,たとえ有名な政治家であろうとも、家庭では普通の親でしかない。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第10課 - 6,157,Bunpou_p54-p60_visual.md,214,～(よ)うと～まいと・～(よ)うが～まいが,～（よ）うと～まいと・～（よ）うが～まいが,田中先生は生徒が理解しようとしまいと、どんどん難しい話を続けた。,田中先生は、学生たちが理解しようとするまいと、どんどん難しい話を続けた。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 7,158,Bunpou_p54-p60_visual.md,215,～(よ)うと～まいと・～(よ)うが～まいが,～（よ）うと～まいと・～（よ）うが～まいが,雨が降ろうが降るまいが、サッカーの練習に休みはない。,雨が降ろうが降るまいが、サッカーの練習に休みはない。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第10課 - 8,159,Bunpou_p54-p60_visual.md,216,～(よ)うと～まいと・～(よ)うが～まいが,～（よ）うと～まいと・～（よ）うが～まいが,合格の見込みがあろうがあるまいが、今だに猛勉強だ。,合格の見込みがあろうがあるまいが、今はただ頑張るだけだ。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 9,160,Bunpou_p54-p60_visual.md,230,～であれ・～であろうと,～であれ・～であろうと,たとえあらしの夜であれ、わたしは仕事のためなら外出する。,たとえあらしの夜であれ、わたしは仕事のためなら外出する。,corrected,2;5;9;10;12;16;19-opening,keep,
第10課 - 10,161,Bunpou_p54-p60_visual.md,231,～であれ・～であろうと,～であれ・～であろうと,どんな権力者であれ、いつかは命の終わりが来る。,どんな権力者であれ、いつかは命の終わりが来る。,corrected,2;5;9;10;12;16;19-opening,keep,
第10課 - 11,162,Bunpou_p54-p60_visual.md,232,～であれ・～であろうと,～であれ・～であろうと,理由はなんであれ、無断欠席は許されない。,理由が何であれ、無断欠席は許されない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 12,163,Bunpou_p54-p60_visual.md,233,～であれ・～であろうと,～であれ・～であろうと,君が宴会に居ようと、たとえ火の中、水の中であろうと、僕は平気だ。,君に会うためなら、たとえ火の中、水の中であろうと、僕は平気だ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 13,164,Bunpou_p54-p60_visual.md,249,～たところで,～たところで,今さら悔やんだところで、もう会議は終わっているだろう。,今さら駆けつけたところで、もう会議は終わっているだろう。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 14,165,Bunpou_p54-p60_visual.md,250,～たところで,～たところで,どんなに説明したところで、わたしの気持ちはわかってもらえないだろう。,どんなに説明したところで、わたしの気持ちはわかってもらえないだろう。,corrected,9;10;12;16,keep,
第10課 - 15,166,Bunpou_p54-p60_visual.md,251,～たところで,～たところで,フリーマーケットでは品物が全部売れたところで、もうけはあまりない。,フリーマーケットでは品物が全部売れたところで、もうけはあまりない。,corrected,9;10;12;16,keep,
第10課 - 16,167,Bunpou_p54-p60_visual.md,252,～たところで,～たところで,いくら謝ったところで、彼女との関係は元には戻らないと思う。,いくら謝ったところで、彼女との関係は元には戻らないと思う。,corrected,9;10;12;16,keep,
第10課 - 17,168,Bunpou_p54-p60_visual.md,264,～ば～で・～なら～で・～たら～たで,～ば～で・～なら～で・～たら～たで,家は広いほうがいいが、広ければ広いで、掃除が大変だろう。,家は広い方がいいが、広ければ広いで、掃除が大変だろう。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 18,169,Bunpou_p54-p60_visual.md,265,～ば～で・～なら～で・～たら～たで,～ば～で・～なら～で・～たら～たで,退職前は毎日忙しくて大変だったが、暇になってみると、暇なら暇で悩みが出てくるものだ。,退職前は毎日忙しくて大変でしたが、暇になってみると、暇なら暇で悩みも出てくるものです。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第10課 - 19,170,Bunpou_p54-p60_visual.md,266,～ば～で・～なら～で・～たら～たで,～ば～で・～なら～で・～たら～たで,食材がなかったらなかったで、簡単な料理で済ませましょう。,食材がなかったらなかったで、簡単な料理で済ませましょう。,corrected,2;5;12;16;19-opening,keep,
第10課 - 20,171,Bunpou_p54-p60_visual.md,267,～ば～で・～なら～で・～たら～たで,～ば～で・～なら～で・～たら～たで,引っ越しの前も大変だったが、引っ越したら引っ越したで、またやらなければならないことがたくさんある。,引っ越しの前も大変だったが、引っ越したら引っ越したで、またやらなければならないことがたくさんある。,corrected,2;5;12;16;19-opening,keep,
第11課 - 1,172,Bunpou_p61-p68_visual.md,18,～べく,～べく,彼はサッカー選手になるべし、毎日厳しい練習をしている。,彼はサッカー選手になるべく、毎日厳しい練習をしている。,corrected,5;9;10;12;16,review_or_rerecord,translation and generated analysis require review
第11課 - 2,173,Bunpou_p61-p68_visual.md,19,～べく,～べく,新型の機械を購入するべし、社長はいろいろ調べている。,新型の機械を購入するべく、社長はいろいろ調べている。,corrected,5;9;10;12;16,review_or_rerecord,translation and generated analysis require review
第11課 - 3,174,Bunpou_p61-p68_visual.md,20,～べく,～べく,介護ロボットを開発するべし、わたしたちは今日も実験を続ける。,介護ロボットを開発すべく、わたしたちは今日も実験を続ける。,corrected,5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第11課 - 4,175,Bunpou_p61-p68_visual.md,30,～んがために(に),～んがため(に),彼女は歌手になりたいという夢を実現させんがため、上京した。,彼女は歌手になりたいという夢を実現させんがため、上京した。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第11課 - 5,176,Bunpou_p61-p68_visual.md,31,～んがために(に),～んがため(に),ライオンがしまうま食べるのは残虐に見えるが、ライオンは生きんがために、そうするのである。,ライオンがしまうまを食べるのは残酷に見えるが、ライオンは生きんがために、そうするのである。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第11課 - 6,177,Bunpou_p61-p68_visual.md,32,～んがために(に),～んがため(に),自分の利益を得んがための発言では、人の心を動かせない。,自分の利益を得んがための発言では、人の心を動かせない。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第11課 - 7,178,Bunpou_p61-p68_visual.md,42,～をもって,～をもって,本日の採用試験の結果をもってご連絡いたします。,本日の採用試験の結果は後日書面をもってご連絡いたします。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第11課 - 8,179,Bunpou_p61-p68_visual.md,43,～をもって,～をもって,何をもって人の価値を評価することも難しい問題だ。,何をもって人の価値を評価するかは難しい問題だ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第11課 - 9,180,Bunpou_p61-p68_visual.md,44,～をもって,～をもって,最新の医療技術をもってすれば、人はさらに寿命を延ばせるだろう。,最新の医療技術をもってすれば、人はさらに寿命を延ばせるだろう。,corrected,2;5;9;10;12;16;19-opening,keep,
第12課 - 1,181,Bunpou_p61-p68_visual.md,130,～ばこそ,～ばこそ,心身健康であればこそ、大きな仕事に挑戦できるのだ。まずは健康に注意しなさい。,心身健康であればこそ、大きな仕事に挑戦できるのだ。まずは健康に注意しなさい。,corrected,9;10;12;16,keep,
第12課 - 2,182,Bunpou_p61-p68_visual.md,131,～ばこそ,～ばこそ,愛していればこそ、別れるのです。わたしの気持ち、わかってください。,愛していればこそ、別れるのです。わたしの気持ち、わかってください。,corrected,9;10;12;16,keep,
第12課 - 3,183,Bunpou_p61-p68_visual.md,132,～ばこそ,～ばこそ,苦しければこそ、後で本当の喜びがある。,今苦しければこそ、後で本当の喜びがある。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第12課 - 4,184,Bunpou_p61-p68_visual.md,142,～とあって,～とあって,久しぶりの快晴の連休とあって、行楽地はどこも人でいっぱいだった。,久しぶりの快晴の連休とあって、行楽地はどこも人でいっぱいだった。,corrected,2;5;9;10;12;16;19-opening,keep,
第12課 - 5,185,Bunpou_p61-p68_visual.md,143,～とあって,～とあって,その女優は初めて映画の主役を務めるとあって、とても緊張している様子だ。,その女優は初めて映画の主役を務めるとあって、とても緊張している様子だ。,corrected,9;10;12;16,keep,
第12課 - 6,186,Bunpou_p61-p68_visual.md,144,～とあって,～とあって,新聞で芸術家の絵の展覧会が報道されたとあって、この店に来る客はみんな店に飾られた絵を眺めていく。,新聞で店主の絵のことが報道されたとあって、この店に来る客はみんな店に飾られた絵を眺めていく。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第12課 - 7,187,Bunpou_p61-p68_visual.md,156,～ではあるまいし,～ではあるまいし,子供ではあるまいし、眠かったり空腹だったりするだけでそんなに不機嫌な顔をするものではない。,子供ではあるまいし、眠かったり空腹だったりするだけでそんなに不機嫌な顔をするものではない。,corrected,2;5;9;10;12;16;19-opening,keep,
第12課 - 8,188,Bunpou_p61-p68_visual.md,157,～ではあるまいし,～ではあるまいし,犬や猫じゃあるまいし、上の人の言葉に従うだけなんてごめんだ。,犬や猫じゃあるまいし、上の人の言葉に従うだけなんてごめんだ。,corrected,2;5;9;10;12;16;19-opening,keep,
第12課 - 9,189,Bunpou_p61-p68_visual.md,158,～ではあるまいし,～ではあるまいし,面接試験は初めてではあるまいし、どうして今回はそんなに緊張するの?,面接試験は初めてではあるまいし、今回はどうしてそんなに緊張するの？,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第12課 - 10,190,Bunpou_p61-p68_visual.md,159,～ではあるまいし,～ではあるまいし,あなたが悪かったのではあるまいし、どうしてそんなに自分を責めることはないよ。,あなたが悪かったわけではあるまいし、そんなに自分を責めることはないよ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第12課 - 11,191,Bunpou_p61-p68_visual.md,169,～手前,～手前,5月末までに問題を解決すると約束した手前、どうしても頑張らなければならない。,5月末までに問題を解決すると約束した手前、どうしても頑張らなければならない。,corrected,9;10;12;16,keep,
第12課 - 12,192,Bunpou_p61-p68_visual.md,170,～手前,～手前,いつも手伝っているという手前、今回はこちらから手伝いを申し出なければ……。,いつも手伝ってもらっている手前、今回はこちらから手伝いを申し出なければ……。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第12課 - 13,193,Bunpou_p61-p68_visual.md,171,～手前,～手前,子供たちの手前、父親がこんな酔っ払った姿で帰宅しては体裁が悪い。,子供たちの手前、父親がこんな酔っ払った姿で帰宅しては体裁が悪い。,corrected,9;10;12;16,keep,
第12課 - 14,194,Bunpou_p61-p68_visual.md,172,～手前,～手前,ご近所の手前、家に警察が来たことは知られたくない。,ご近所の手前、家に警察官が来たことは知られたくない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第12課 - 15,195,Bunpou_p61-p68_visual.md,182,～ゆえ(に),～ゆえ(に),慣れないことゆえ、数々の不手際、どうぞお許しください。,慣れないことゆえ、数々の不手際、どうぞお許しください。,corrected,9;10;12;16,keep,
第12課 - 16,196,Bunpou_p61-p68_visual.md,183,～ゆえ(に),～ゆえ(に),理想ばかり追い求めたゆえ、現実が伴わないと思われたかもしれない。,理想ばかり申し上げたゆえ、実践が伴わないと思われたかもしれません。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第12課 - 17,197,Bunpou_p61-p68_visual.md,184,～ゆえ(に),～ゆえ(に),国民の信頼が得られなかったゆえに、新しい政策は再検討しなければならなくなった。,国民の信頼が得られなかったゆえに、新しい政策は再検討しなければならなくなった。,corrected,9;10;12;16,keep,
第13課 - 1,198,Bunpou_p69-p74_visual.md,19,～にかたくない,～にかたくない,でき上がった作品を見れば、彼のこれまでの努力は想像にかたくない。,でき上がった作品を見れば、彼のこれまでの努力は想像にかたくない。,corrected,2;5;9;10;12;16;19-opening,keep,
第13課 - 2,199,Bunpou_p69-p74_visual.md,20,～にかたくない,～にかたくない,愛する人を失った彼女の悲しみは察するにかたくない。,愛する人を失った彼女の悲しみは察するにかたくない。,corrected,2;5;9;10;12;16;19-opening,keep,
